Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
24,,,,,,76.68249945,30.65699642,249.795,0.011,0.010,0.025,0.015,1.834,m,FIX,2023-04-27 16:21:33.4 UTC+05:30,2023-04-27 16:21:33.4 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,83.749,Global CS
25,,,,,,76.68248070,30.65700838,249.997,0.010,0.010,0.022,0.014,1.834,m,FIX,2023-04-27 16:21:35.8 UTC+05:30,2023-04-27 16:21:35.8 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,85.806,Global CS
26,,,,,,76.68246499,30.65702105,249.971,0.010,0.010,0.020,0.014,1.834,m,FIX,2023-04-27 16:21:38.0 UTC+05:30,2023-04-27 16:21:38.0 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,87.780,Global CS
27,,,,,,76.68244689,30.65703437,249.944,0.010,0.010,0.020,0.014,1.834,m,FIX,2023-04-27 16:21:40.6 UTC+05:30,2023-04-27 16:21:40.6 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,89.939,Global CS
28,,,,,,76.68243362,30.65704279,249.957,0.010,0.010,0.019,0.014,1.834,m,FIX,2023-04-27 16:21:42.8 UTC+05:30,2023-04-27 16:21:42.8 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,91.399,Global CS
29,,,,,,76.68240858,30.65706365,249.973,0.010,0.010,0.018,0.014,1.834,m,FIX,2023-04-27 16:21:46.2 UTC+05:30,2023-04-27 16:21:46.2 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,94.631,Global CS
30,,,,,,76.68239444,30.65707310,249.956,0.010,0.010,0.018,0.014,1.834,m,FIX,2023-04-27 16:21:48.0 UTC+05:30,2023-04-27 16:21:48.0 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,96.241,Global CS
31,,,,,,76.68238237,30.65708001,249.885,0.010,0.010,0.019,0.014,1.834,m,FIX,2023-04-27 16:21:49.6 UTC+05:30,2023-04-27 16:21:49.6 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,97.507,Global CS
32,,,,,,76.68235430,30.65710043,249.890,0.010,0.010,0.018,0.014,1.834,m,FIX,2023-04-27 16:21:53.2 UTC+05:30,2023-04-27 16:21:53.2 UTC+05:30,1,1.5,,,,76.68293478,30.65634194,248.818,100.874,Global CS
33,,,,,,76.68233155,30.65711854,249.911,0.010,0.010,0.017,0.014,1.834,m,FIX,2023-04-27 16:21:56.2 UTC+05:30,2023-04-27 16:21:56.2 UTC+05:30,1,1.5,,,,76.68293478,30.65634194,248.818,103.753,Global CS
34,,,,,,76.68231242,30.65713269,250.239,0.010,0.010,0.017,0.014,1.834,m,FIX,2023-04-27 16:21:58.8 UTC+05:30,2023-04-27 16:21:58.8 UTC+05:30,1,1.5,,,,76.68293478,30.65634194,248.818,106.089,Global CS
35,,,,,,76.68228663,30.65715264,250.194,0.010,0.010,0.016,0.014,1.834,m,FIX,2023-04-27 16:22:03.6 UTC+05:30,2023-04-27 16:22:03.6 UTC+05:30,1,1.5,,,,76.68293478,30.65634194,248.818,109.308,Global CS
36,,,,,,76.68228520,30.65715580,250.160,0.010,0.010,0.016,0.014,1.834,m,FIX,2023-04-27 16:22:05.6 UTC+05:30,2023-04-27 16:22:05.6 UTC+05:30,1,1.5,,,,76.68293478,30.65634194,248.818,109.673,Global CS
37,,,,,,76.68227395,30.65716500,250.190,0.010,0.010,0.017,0.014,1.834,m,FIX,2023-04-27 16:22:07.6 UTC+05:30,2023-04-27 16:22:07.6 UTC+05:30,1,1.5,,,,76.68293478,30.65634194,248.818,111.125,Global CS
